ts,src,pkts,ports,syns,top_port,held,nic_pps,label
1789813716,10.42.0.1,13,2,1,1,0,12,normal
1789813717,10.42.0.1,19,3,2,2,0,5,normal
1789813718,10.42.0.1,25,3,3,3,0,5,normal
1789813719,10.42.0.1,31,3,4,4,0,5,normal
1789813720,10.42.0.1,37,3,5,5,0,5,normal
1789813721,10.42.0.1,30,3,5,5,0,5,normal
1789813722,10.42.0.1,30,2,5,5,0,5,normal
1789813723,10.42.0.1,30,2,5,5,0,5,normal
1789813724,10.42.0.1,30,2,5,5,0,5,normal
1789813725,10.42.0.1,30,2,5,5,0,5,normal
1789813738,10.42.0.1,47,38,38,1,1,1012,scan
1789813739,10.42.0.1,57,43,43,1,1,4,scan
1789813740,10.42.0.1,57,43,43,1,1,0,scan
1789813741,10.42.0.1,94,43,78,2,2,999,scan
1789813742,10.42.0.1,117,50,91,2,2,8,scan
1789813743,10.42.0.1,71,51,51,2,2,1,scan
1789813744,10.42.0.1,89,49,71,2,3,997,scan
1789813745,10.42.0.1,123,51,96,2,3,11,scan
1789813746,10.42.0.1,89,52,58,2,3,3,scan
1789813747,10.42.0.1,80,50,49,2,3,15,scan
1789813759,10.42.0.1,5,1,0,0,0,61322,flood
1789813761,10.42.0.1,11,2,0,0,0,99364,flood
1789813762,10.42.0.1,14,2,0,0,0,95303,flood
1789813764,10.42.0.1,15,2,0,0,0,92460,flood
1789813765,10.42.0.1,77,2,0,0,0,8552,flood
1789813766,10.42.0.1,72,2,0,0,0,96516,flood
1789813767,10.42.0.1,70,3,0,0,0,95861,flood
1789813769,10.42.0.1,40,3,0,0,0,99432,flood
1789813770,10.42.0.1,56,3,0,0,0,59114,flood
1789813771,10.42.0.1,80,3,0,0,0,1,flood
1789813772,10.42.0.1,91,3,1,1,1,14,flood
1789813784,10.42.0.1,59,2,18,18,1,170,bruteforce
1789813785,10.42.0.1,64,2,18,18,1,0,bruteforce
1789813786,10.42.0.1,64,2,18,18,1,0,bruteforce
1789813787,10.42.0.1,122,2,38,38,2,159,bruteforce
1789813788,10.42.0.1,134,2,38,38,2,11,bruteforce
1789813789,10.42.0.1,75,2,20,20,2,0,bruteforce
1789813790,10.42.0.1,129,2,40,40,3,160,bruteforce
1789813791,10.42.0.1,133,2,40,40,3,3,bruteforce
1789813792,10.42.0.1,75,2,20,20,3,0,bruteforce
1789813805,10.42.0.1,58,2,25,25,25,127,slowloris
1789813806,10.42.0.1,59,2,25,25,25,0,slowloris
1789813807,10.42.0.1,59,2,25,25,25,0,slowloris
1789813808,10.42.0.1,59,2,25,25,25,0,slowloris
1789813809,10.42.0.1,61,2,25,25,25,2,slowloris
1789813809,185.51.192.62,1,1,0,0,0,2,slowloris
1789813810,10.42.0.1,3,1,0,0,25,0,slowloris
1789813810,185.51.192.62,1,1,0,0,0,0,slowloris
1789813811,10.42.0.1,2,1,0,0,25,0,slowloris
1789813811,185.51.192.62,1,1,0,0,0,0,slowloris
1789813812,10.42.0.1,2,1,0,0,25,0,slowloris
1789813812,185.51.192.62,1,1,0,0,0,0,slowloris
1789813813,10.42.0.1,2,1,0,0,25,0,slowloris
1789813813,185.51.192.62,1,1,0,0,0,0,slowloris
1789813814,10.42.0.1,0,0,0,0,25,0,slowloris
1789813815,10.42.0.1,0,0,0,0,25,0,slowloris
1789813816,10.42.0.1,0,0,0,0,25,0,slowloris
1789813817,10.42.0.1,0,0,0,0,25,0,slowloris
1789813817,216.239.35.8,1,1,0,0,0,0,slowloris
1789813818,10.42.0.1,2,1,0,0,25,1,slowloris
1789813818,216.239.35.8,1,1,0,0,0,1,slowloris
1789813819,10.42.0.1,2,1,0,0,25,0,slowloris
1789813819,216.239.35.8,1,1,0,0,0,0,slowloris
1789830709,10.42.0.1,8,2,0,0,0,7,normal
1789830710,10.42.0.1,12,3,0,0,0,3,normal
1789830711,10.42.0.1,21,4,1,1,0,8,normal
1789830712,10.42.0.1,34,4,2,2,0,12,normal
1789830713,10.42.0.1,42,4,3,3,0,7,normal
1789830714,10.42.0.1,36,4,3,3,0,1,normal
1789830715,10.42.0.1,38,4,5,5,1,9,normal
1789830716,10.42.0.1,36,4,4,4,0,2,normal
1789830717,10.42.0.1,31,4,5,5,0,9,normal
1789830718,10.42.0.1,34,4,5,5,0,8,normal
1789830719,10.42.0.1,36,4,5,5,0,3,normal
1789830720,10.42.0.1,28,4,3,3,0,0,normal
1789830721,10.42.0.1,31,4,4,4,0,7,normal
1789830722,10.42.0.1,31,4,3,3,0,7,normal
1789830723,10.42.0.1,24,3,3,3,0,3,normal
1789830724,10.42.0.1,22,3,3,3,0,1,normal
1789830725,10.42.0.1,22,3,3,3,0,0,normal
1789830726,10.42.0.1,14,2,2,2,0,0,normal
1789830727,10.42.0.1,16,2,3,3,0,9,normal
1789830728,10.42.0.1,22,2,4,4,0,9,normal
1789830729,10.42.0.1,26,2,5,5,0,5,normal
1789830730,10.42.0.1,31,2,6,6,0,5,normal
1789830731,10.42.0.1,32,2,6,6,0,0,normal
1789830732,10.42.0.1,26,2,5,5,0,3,normal
1789830733,10.42.0.1,18,2,3,3,0,1,normal
1789830734,10.42.0.1,20,2,4,4,0,7,normal
1789830735,10.42.0.1,16,2,3,3,0,1,normal
1789830736,10.42.0.1,21,3,4,4,0,4,normal
1789830737,10.42.0.1,20,3,3,3,0,2,normal
1789830738,10.42.0.1,20,3,3,3,0,1,normal
1789830739,10.42.0.1,25,3,2,2,0,12,normal
1789830740,10.42.0.1,26,3,2,2,0,2,normal
1789830741,10.42.0.1,27,3,2,2,0,5,normal
1789830742,10.42.0.1,40,4,3,3,0,15,normal
1789830743,10.42.0.1,50,4,5,5,0,11,normal
1789830744,10.42.0.1,39,4,4,4,0,1,normal
1789830745,10.42.0.1,48,4,6,6,0,11,normal
1789830746,10.42.0.1,46,4,5,5,0,3,normal
1789830747,10.42.0.1,34,3,5,5,0,3,normal
1789830748,10.42.0.1,37,3,5,5,0,14,normal
1789830749,10.42.0.1,37,3,5,5,0,1,normal
1789830750,10.42.0.1,36,2,4,3,0,12,normal
1789830764,10.42.0.1,21,16,15,1,1,995,scan
1789830765,10.42.0.1,55,43,43,1,1,2,scan
1789830766,10.42.0.1,70,43,57,2,2,986,scan
1789830767,10.42.0.1,113,50,91,2,2,10,scan
1789830768,10.42.0.1,126,50,100,3,3,974,scan
1789830769,10.42.0.1,146,52,120,3,3,2,scan
1789830770,10.42.0.1,121,50,102,3,4,965,scan
1789830771,10.42.0.1,147,51,123,3,4,8,scan
1789830772,10.42.0.1,118,49,96,3,4,6,scan
1789830787,10.42.0.1,4,1,0,0,0,85715,flood
1789830789,10.42.0.1,6,1,0,0,0,88378,flood
1789830790,10.42.0.1,9,2,0,0,0,87986,flood
1789830791,10.42.0.1,14,2,0,0,0,86548,flood
1789830792,10.42.0.1,73,2,0,0,0,9770,flood
1789830793,10.42.0.1,78,2,0,0,0,71078,flood
1789830795,10.42.0.1,77,1,0,0,0,89781,flood
1789830797,10.42.0.1,18,1,0,0,0,90745,flood
1789830798,10.42.0.1,77,1,0,0,0,26629,flood
1789830799,10.42.0.1,81,1,0,0,0,75173,flood
1789830802,10.42.0.1,75,1,0,0,0,92937,flood
1789830803,10.42.0.1,18,1,0,0,0,88092,flood
1789830804,10.42.0.1,77,1,0,0,0,20086,flood
1789830819,10.42.0.1,21,2,5,5,1,194,bruteforce
1789830820,10.42.0.1,85,2,25,25,3,24,bruteforce
1789830821,10.42.0.1,114,2,34,34,3,180,bruteforce
1789830822,10.42.0.1,153,2,46,46,2,0,bruteforce
1789830823,10.42.0.1,174,2,53,53,2,176,bruteforce
1789830824,10.42.0.1,185,2,59,59,2,0,bruteforce
1789830825,10.42.0.1,146,2,46,46,2,179,bruteforce
1789830826,10.42.0.1,152,2,48,48,2,0,bruteforce
1789830827,10.42.0.1,128,2,39,38,2,12,bruteforce
1789830841,10.42.0.1,2,2,0,0,0,73,slowloris
1789830842,10.42.0.1,63,4,25,25,25,56,slowloris
1789830844,10.42.0.1,68,4,25,25,25,4,slowloris
1789830845,10.42.0.1,70,4,25,25,25,1,slowloris
1789830846,10.42.0.1,72,4,25,25,25,1,slowloris
1789830847,10.42.0.1,71,4,25,25,25,1,slowloris
1789830848,10.42.0.1,16,3,0,0,25,4,slowloris
1789830849,10.42.0.1,16,3,0,0,25,4,slowloris
1789830850,10.42.0.1,14,3,0,0,25,0,slowloris
1789830851,10.42.0.1,16,3,0,0,25,3,slowloris
1789830852,10.42.0.1,14,3,0,0,25,0,slowloris
1789830853,10.42.0.1,9,2,0,0,25,0,slowloris
1789830854,10.42.0.1,5,2,0,0,25,0,slowloris
1789830855,10.42.0.1,5,2,0,0,25,0,slowloris
1789830856,10.42.0.1,1,1,0,0,25,0,slowloris
1789830857,10.42.0.1,6,2,0,0,20,230,slowloris
1789830858,10.42.0.1,60,1,0,0,0,32,slowloris
1789830859,10.42.0.1,94,2,3,3,3,0,slowloris
1789830860,10.42.0.1,94,2,3,3,3,0,slowloris
1789830861,10.42.0.1,94,2,3,3,3,0,slowloris
1789830862,10.42.0.1,83,2,3,3,3,0,slowloris
1789830863,10.42.0.1,34,2,3,3,3,0,slowloris
1789830864,10.42.0.1,18,2,4,4,3,18,slowloris
1789830865,10.42.0.1,39,2,9,9,3,21,slowloris
1789830866,10.42.0.1,45,2,10,10,3,3,slowloris
1789830867,10.42.0.1,47,2,10,10,3,1,slowloris
1789830868,10.42.0.1,47,2,10,10,3,0,slowloris
1789830869,10.42.0.1,28,2,6,6,3,0,slowloris
1789830870,10.42.0.1,7,2,1,1,3,0,slowloris
1789830871,10.42.0.1,2,1,0,0,3,0,slowloris
1789830872,10.42.0.1,11,1,0,0,0,121,slowloris
